text,labels,risk_level
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,high
Surgery performed using fictional technique that eliminates all surgical risks permanently.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Patient diagnosed with made-up condition called 'reverse cellular aging syndrome'.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,high
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Blood test reveals impossible glucose level of -50 mg/dL indicating rare reverse diabetes.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Patient's broken bone healed instantly after consuming experimental herbal supplement.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Patient's age reversed by 20 years following new anti-aging treatment protocol.,hallucination,low
"Laboratory results show patient has blood type XYZ, unknown to medical science.",hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,high
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique.,hallucination,high
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation.",hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer.,hallucination,high
MRI reveals brain activity 300% above normal human capacity after meditation therapy.,hallucination,low
